Words to Learn

Learned Words

The Rest
der, die, das; тот, та, то, те
außerhalb; снаружи, за пределами
beeinflussen; влиять, воздействовать
die Behandlung; лечение, обращение
dick; толстый, полный
einfallen; приходить в голову, вспоминать
die Einrichtung; учреждение, обстановка, оборудование
existieren; существовать
das Feld; поле, область
fördern; поддерживать, способствовать
die Hochschule; высшее учебное заведение
das Hotel; отель, гостиница
das Publikum; публика, аудитория
schwach; слабый
die Studie; исследование, изучение
der/die Vorsitzende; председатель
die Analyse; анализ
ansprechen; обращаться, затрагивать
beachten; соблюдать, учитывать
empfinden; чувствовать, ощущать
entfernen; удалять, устранять
linke; левый
niedrig; низкий, невысокий
schneiden; резать, стричь
sichern; обеспечивать, гарантировать
die Spur; след, трек
traditionell; традиционный
wenden; поворачивать, обращаться
angesichts; ввиду, перед лицом
bereit; готовый, готов
der Berg; гора
die Erkenntnis; познание, осознание
der Faktor; фактор
fassen; держать, вмещать
der Fehler; ошибка
die Freiheit; свобода
die Freizeit; свободное время, досуг
die Gegend; местность, район
gesetzlich; законный, легальный
informieren; информировать, сообщать
die Kritik; критика
kümmern; заботиться, беспокоиться
leise; тихий, негромкий
negativ; отрицательный, негативный
nicken; кивать
organisieren; организовывать
der Partner; партнер
per; по, посредством
prägen; формировать, чеканить
der See; озеро, море
sinken; тонуть, падать
sowieso; так или иначе, в любом случае
der Typ; тип, вид
vermeiden; избегать, уклоняться
ankündigen; объявлять, анонсировать
anschließend; после, затем
aufstehen; вставать, подниматься
das Ereignis; событие, происшествие
die GmbH; общество с ограниченной ответственностью
die Kontrolle; контроль
das Objekt; объект
das Opfer; жертва, жертвоприношение
österreichisch; австрийский
der Sprecher; спикер, оратор
verstärken; усиливать, укреплять
vorsehen; планировать, предусматривать
der Arbeitsplatz; рабочее место, работа
die Aufnahme; прием, запись, снимок
beschränken; ограничивать
einerseits; с одной стороны
die Fähigkeit; способность, умение
glücklich; счастливый, удачливый
heraus; вон, из, наружу
die Karte; карта, билет, меню
der Urlaub; отпуск, каникулы
die Verantwortung; ответственность
verletzen; ранить, нарушать
die Wahrheit; правда, истина
begreifen; понимать, осознавать
beruflich; профессиональный
einladen; приглашать
empfehlen; рекомендовать
eröffnen; открывать, начинать
das Gebäude; здание, сооружение
der Gesellschafter; партнер, акционер
das Jahrzehnt; десятилетие
der Norden; север
das Ohr; ухо
die Prüfung; экзамен, проверка
die Regelung; регулирование, урегулирование
das Schiff; корабль, судно
selbstverständlich; само собой разумеющийся
abhängen; зависеть
anlegen; надевать, инвестировать, закладывать
die Ausstellung; выставка, экспозиция
bemühen; стараться, прилагать усилия
beschließen; решать, постановлять
der Bezug; отношение, обложка, ссылка
die Bitte; просьба
die Hoffnung; надежда
konzentrieren; концентрировать(ся)
leiten; руководить, вести
offiziell; официальный
prüfen; проверять, испытывать
schätzen; ценить, оценивать
sozusagen; так сказать
streng; строгий, суровый
unterhalten; развлекать(ся), беседовать
verpflichten; обязывать
weitergehen; продолжаться, идти дальше
zurückkehren; возвращаться
das Band; лента, том, группа
beitragen; способствовать, вносить вклад
der Bericht; отчет, доклад, репортаж
brechen; ломать, нарушать
dahin; туда, до того момента
definieren; определять
die Einstellung; отношение, найм на работу, настройка
fein; тонкий, изысканный
festlegen; определять, устанавливать
das Gericht; суд, блюдо
der Gewinn; прибыль, выигрыш
komplex; сложный, комплексный
der König; король
der Mai; май
obere; верхний
orientieren; ориентировать
schreien; кричать, орать
der Sieg; победа
die Tat; поступок, дело
der Traum; сон, мечта
die Union; союз, объединение
der Amerikaner; американец
ausländisch; иностранный, зарубежный
ausschließlich; исключительно
der Besucher; посетитель
bisherig; до сих пор, предыдущий
der Bund; союз, федерация
der Direktor; директор
einnehmen; занимать, принимать
erstmals; впервые
die Geographie; география
der Hintergrund; фон, задний план
insofern; поэтому, в той мере
laut; громкий, согласно
präsentieren; представлять, презентовать
die Qualität; качество
der Rand; край, граница
sinnvoll; разумный, осмысленный
tätig; активный, действующий
übertragen; передавать, поручать
ursprünglich; первоначальный, исходный
die Vergangenheit; прошлое
der Abschnitt; раздел, отрезок
die Aktiengesellschaft; акционерное общество
anschauen; смотреть, рассматривать
der Bauer; фермер, крестьянин
bemerken; замечать, отмечать
die Ehe; брак
der Freitag; пятница
füllen; наполнять, заполнять
geistig; умственный, духовный
hingegen; с другой стороны, напротив
jährlich; ежегодный, годовой
mithilfe; с помощью
unterwegs; в пути, по дороге
die Ursache; причина
der Verlust; потеря, убыток
verteilen; распределять, раздавать
vornehmen; планировать, предпринимать
der Winter; зима
der Zuschauer; зритель
abgeben; сдавать, передавать
abnehmen; уменьшать, снижать, худеть
die Anzahl; количество, число
aufweisen; демонстрировать, проявлять
böse; злой, сердитый
derselbe; тот же самый
diesmal; на этот раз
frisch; свежий
heiraten; жениться, выходить замуж
die Insel; остров
das Instrument; инструмент
der Januar; январь
messen; измерять
nachdenken; размышлять, обдумывать
die Nachricht; новость, сообщение
die Pflanze; растение
der Samstag; суббота
die Störung; нарушение, помеха
verbessern; улучшать, совершенствовать
der Vertreter; представитель
der Vorschlag; предложение
weitgehend; широкий, обширный
der Zentimeter; сантиметр
der Abstand; расстояние, дистанция
die Bildung; образование, формирование
derjenige; тот, который
die Eigenschaft; качество, свойство
erzielen; достигать, добиваться
die Generation; поколение
hereinkommen; входить
intensiv; интенсивный
der Leiter; лидер, руководитель; die Leiter; лестница
los; начинать, отправляться
nachher; позже, потом
sammeln; собирать, коллекционировать
solange; пока, до тех пор
der Abschluss; завершение, окончание
auslösen; провоцировать, вызывать
außen; снаружи, внешне
automatisch; автоматический
das Blatt; лист, листок
der Dezember; декабрь
der Donnerstag; четверг
durchsetzen; продвигать, осуществлять
ersetzen; заменять
formulieren; формулировать
gefährlich; опасный
der Geist; дух, разум
heftig; сильный, жестокий, бурный
das Interview; интервью
kämpfen; бороться, сражаться
militärisch; военный
das Semester; семестр
der Stand; статус, ступень, стенд
die Tradition; традиция
vollständig; полный, complete
vorbei; законченный, мимо
warnen; предупреждать
die Anlage; комплекс, установка, инвестиция
die Behörde; ведомство, органы власти
die Bühne; сцена
die Dame; дама, женщина
drängen; давить, настаивать
eindeutig; однозначный, четкий
das Element; элемент
falls; если, в случае если
die Gelegenheit; возможность, случай
der Hof; двор, подворье
die Kommunikation; коммуникация, общение
die Mama; мама
das Museum; музей
die Nutzung; использование, применение
offensichtlich; очевидно, явно
scharf; острый, резкий
theoretisch; теоретический
verbringen; проводить (время)
wieso; почему, отчего
ausmachen; договориться, составлять
die Basis; основа, база
berühmt; знаменитый, известный
binden; связывать, привязывать
die Ecke; угол
eins; один
erfassen; охватывать, понимать
gestalten; оформлять, формировать
hallo; привет
der Herbst; осень
hinweisen; указывать, ссылаться
der Jude; еврей
das Kriterium; критерий
regeln; регулировать, упорядочивать
der Terror; террор
das Verständnis; понимание
zulassen; разрешать, допускать
die Zusammenarbeit; сотрудничество
am; наиболее, у
anrufen; звонить
die Ansicht; мнение, взгляд
anziehen; привлекать, надевать, одеваться
auseinander; врозь, отдельно
die Auseinandersetzung; спор, ссора, конфликт
die Bahn; поезд, железная дорога, путь
beenden; заканчивать, завершать
der Bürgermeister; мэр
die Definition; определение
das Flugzeug; самолет
das Foto; фотография
hell; яркий, светлый
hinten; сзади, позади
die Masse; масса, толпа
die Nation; нация
die Phase; фаза, этап
reduzieren; сокращать, уменьшать
scheitern; терпеть неудачу, проваливаться
der Stein; камень, скала
still; тихий, спокойный
teilnehmen; участвовать
der Ton; звук, тон, глина
die Veranstaltung; мероприятие, событие
die Änderung; изменение
angehen; касаться, начинаться
aufhören; прекращать, заканчивать
die Ausnahme; исключение
äußern; высказывать, выражать
der Bau; строительство, здание
britisch; британский
einführen; вводить, импортировать
elf; одиннадцать
froh; радостный, довольный
das Hobby; хобби, увлечение
der Kaffee; кофе
der Konflikt; конфликт
kritisch; критический
die Leitung; руководство, труба, провод
die Lust; желание, охота
die Mehrheit; большинство
der Nachmittag; после полудня
pflegen; ухаживать, заботиться
die Rechnung; счет, расчет
das Schloss; замок, засов
versichern; страховать, уверять
die Aktivität; активность, деятельность
begleiten; сопровождать
begrenzen; ограничивать
besetzen; занимать, оккупировать
das BGB; гражданский кодекс
das Dach; крыша
das Fest; праздник, торжество
der Franken; франк
gelangen; достигать, добираться
italienisch; итальянский
der Kandidat; кандидат
die Landschaft; пейзаж, ландшафт
links; слева, налево
die Mannschaft; команда
die Mauer; стена
rechts; справа, направо
reich; богатый
reißen; рвать, разрывать
riesig; огромный, гигантский
die Runde; раунд, круг
der Stern; звезда
verweisen; ссылаться, указывать
akzeptieren; принимать, соглашаться
bestellen; заказывать
dicht; густой, плотный
dreißig; тридцать
erweisen; доказывать, оказывать
erweitern; расширять, увеличивать
der Experte; эксперт, специалист
fürchten; бояться, опасаться
die Gestalt; форма, фигура
günstig; выгодный, благоприятный
hauptsächlich; главный, основной
der Laden; магазин
der Meister; мастер, чемпион
möglicherweise; возможно, вероятно
produzieren; производить
springen; прыгать
starten; начинать, стартовать
die Stellung; положение, позиция
überprüfen; проверять, контролировать
der Zugang; доступ, подход
ansonsten; в противном случае, иначе
aufstellen; устанавливать, выдвигать
die Branche; отрасль, сфера деятельности
ermitteln; расследовать, выяснять
die Figur; фигура
der Frieden; мир
gegenwärtig; настоящий, текущий
die Industrie; индустрия, промышленность
kritisieren; критиковать
mittlere; средний
nett; милый, приятный
niemals; никогда
der Umgang; общение, обращение
der Vorgang; процесс, процедура
das Wachstum; рост, развитие
zeitlich; временной
zerstören; разрушать, уничтожать
ablaufen; истекать, проходить
berechnen; рассчитывать, вычислять
das Büro; офис
die Darstellung; представление, описание
eintreten; входить, вступать
ergänzen; дополнять
erwerben; приобретать, получать
der Fußball; футбол
die Gewalt; насилие, власть
die Institution; учреждение, институт
die Katze; кошка
der Konzern; концерн
das Lager; склад, лагерь
die Lehre; учение, обучение
online; онлайн, в сети
das Pferd; лошадь
der Rat; совет
der Schatten; тень
spezifisch; специфический, особый
die Spitze; вершина, острие
die Strecke; дистанция, расстояние
die Szene; сцена
üben; практиковать, тренировать
die Weltmeisterschaft; чемпионат мира
zurückgehen; уменьшаться, отступать
anschließen; подключать, присоединять
ausdrücken; выражать
das Blut; кровь
die Dauer; продолжительность
elektrisch; электрический
entlang; вдоль
etc.; и т.д.
das Feuer; огонь
freilich; конечно, разумеется
gemäß; согласно, в соответствии с
gesund; здоровый
grau; серый
das Gymnasium; гимназия
der Juli; июль
die Konsequenz; последствие, вывод
die Nase; нос
schießen; стрелять
streichen; красить, отменять
der Stuhl; стул
der Süden; юг
das Tor; ворота, гол
der Verband; ассоциация, союз, бинт
westlich; западный
die Aktie; акция (ценная бумага)
die Aktion; акция, действие
der Anlass; повод, причина
die Ausgabe; выпуск, издание, расходы
der Ausländer; иностранец
bedürfen; требовать, нуждаться
behalten; сохранять, удерживать
belegen; доказывать, занимать
das Bundesland; федеральная земля
chemisch; химический
der Club; клуб
egal; все равно, безразлично
extrem; экстремальный, крайний
der Fluss; река
freundlich; дружелюбный, приветливый
die Führung; руководство, экскурсия
die Geschwindigkeit; скорость
das Gut; имущество, товар
herauskommen; выходить, появляться
hören; слышать, слушать
lauten; звучать, гласить
letztlich; в конечном счете
die Medizin; медицина
der Nachbar; сосед
die Software; программное обеспечение
die Stufe; ступень, уровень
stürzen; падать, свергать
das Telefon; телефон
der Terrorismus; терроризм
total; полный, тотальный
der Trainer; тренер
umgehen; обращаться, обходить
verlaufen; проходить, протекать
vermuten; предполагать, подозревать
zukommen; приближаться, предстоять
der Zweifel; сомнение
absehen; предвидеть, отказываться
die Anforderung; требование, запрос
auffallen; бросаться в глаза, выделяться
das Bad; ванна, ванная комната
die Belastung; нагрузка, бремя
beweisen; доказывать
der Bus; автобус
der Effekt; эффект
die Messe; выставка, ярмарка, месса
ohnehin; в любом случае
stolz; гордый
überleben; выживать
der Umfang; объем, окружность
unbekannt; неизвестный
die Vorschrift; инструкция, предписание
äußerst; крайне, чрезвычайно
ausüben; осуществлять, заниматься
betreten; входить, вступать
einst; когда-то, однажды
elektronisch; электронный
endgültig; окончательный
erzeugen; производить, создавать
das Fahrrad; велосипед
die Kommission; комиссия
das Krankenhaus; больница
künstlerisch; художественный
landen; приземляться, высаживаться
der Mangel; недостаток, дефицит
realisieren; реализовать, осуществлять
retten; спасать
der Richter; судья
sichtbar; видимый
sobald; как только
tausend; тысяча
der Terrorist; террорист
das Urteil; приговор, суждение
verbergen; скрывать, прятать
verbreiten; распространять
Wiener; венский
abhängig; зависимый
allzu; слишком
der Anbieter; поставщик
begegnen; встречать, сталкиваться
biologisch; биологический
brennen; гореть, жечь
die Decke; потолок, одеяло
doppelt; двойной
erfordern; требовать
erschrecken; пугать(ся)
der Fisch; рыба
das Fleisch; мясо
fünfzig; пятьдесят
jüdisch; еврейский
die Jugend; молодежь, юность
der Juni; июнь
packen; упаковывать, хватать
sämtlich; все, полный
schenken; дарить
der Schmerz; боль
die Schuld; вина, долг
schütteln; трясти
selbstständig; самостоятельный
senken; снижать, опускать
die Stimmung; настроение
die Tasche; карман, сумка
umgekehrt; наоборот
der Wein; вино
die Welle; волна
der Wettbewerb; соревнование, конкуренция
das Wetter; погода
zurückziehen; отступать, отзывать
die Alternative; альтернатива
anerkennen; признавать
arbeitslos; безработный
die Auswirkung; воздействие, последствие
das Bedürfnis; потребность
beurteilen; оценивать, судить
erleichtern; облегчать
genießen; наслаждаться
die Haltung; поза, отношение
der Leser; читатель
mächtig; могущественный, мощный
ökonomisch; экономический
rechtlich; правовой, юридический
religiös; религиозный
schriftlich; письменный
die Tante; тетя
die Temperatur; температура
unterrichten; преподавать, обучать
vermutlich; вероятно, предположительно
die Waffe; оружие
wahrnehmen; воспринимать, замечать
die Ware; товар
zweimal; дважды
die Ahnung; представление, догадка
angeblich; якобы, предположительно
anhand; на основе
belasten; обременять, нагружать
billig; дешевый
die Brust; грудь
damalig; тогдашний
daneben; рядом, кроме того
die Einführung; введение, внедрение
die Fahrt; поездка, путешествие
fließen; течь
die Förderung; поддержка, содействие
geographisch; географический
das Kleid; платье
die Koalition; коалиция
kontrollieren; контролировать
kräftig; сильный, крепкий
die Länge; длина
das Loch; дыра, отверстие
der Manager; менеджер
nachweisen; доказывать, подтверждать
die Quelle; источник
der Regen; дождь
die Religion; религия
der Spieler; игрок
der Strom; ток, электричество, поток
die Summe; сумма
der Termin; срок, встреча, дата
der Test; тест, проверка
der Tourist; турист
der Umsatz; оборот
unterbrechen; прерывать, прекращать
vertrauen; доверять
verursachen; причинять, вызывать
die Verwendung; использование, применение
vorschlagen; предлагать
der Vorwurf; упрек, обвинение
wild; дикий, необузданный
der Wissenschaftler; ученый
woher; откуда
zurück; назад, обратно
der April; апрель
aussprechen; высказывать, произносить
bedienen; обслуживать, управлять
beherrschen; владеть, контролировать
das Bier; пиво
die Bundesregierung; федеральное правительство
bunt; цветной, разноцветный
dringend; срочный, неотложный
einschränken; ограничивать, сокращать
freiwillig; добровольный
heilig; святой, священный
ideal; идеальный
das Konzert; концерт
die Krise; кризис
die Landwirtschaft; сельское хозяйство
das Leid; страдание, горе
leuchten; светить, сиять
das Lied; песня
der März; март
das Merkmal; особенность, признак
mitnehmen; брать с собой
mittels; посредством, с помощью
mitten; посреди, в центре
das Parlament; парламент
die Pause; пауза, перерыв
die Perspektive; перспектива
das Phänomen; феномен, явление
die Realität; реальность, действительность
regional; региональный
rücken; передвигать, приближать
die Suche; поиск
töten; убивать
überwiegend; преимущественно, в основном
unmöglich; невозможный
verabschieden; прощаться, принимать (закон)
verbieten; запрещать
vorlegen; представлять, предъявлять
der Weltkrieg; мировая война
zusammenfassen; обобщать, резюмировать
angenehm; приятный
der Arbeitgeber; работодатель
der Aufbau; структура, строение
der August; август
ausrichten; сообщать, организовывать
bedeutend; значимый, важный
bedingen; обусловливать, определять
die Bestimmung; правило, определение
die Botschaft; сообщение, послание
das Brot; хлеб
christlich; христианский
davor; перед этим, раньше
drüben; там, на той стороне
eventuell; возможно, вероятно
die Flasche; бутылка
die Formel; формула
der Fortschritt; прогресс
fortsetzen; продолжать
der Geburtstag; день рождения
die Gegenwart; настоящее, современность
die Hauptstadt; столица
integrieren; интегрировать, включать
klappen; работать, складываться (удаваться)
körperlich; физический, телесный
medizinisch; медицинский
die Mühe; усилие, труд
die Nachfrage; спрос
die Pflicht; обязанность, долг
räumlich; пространственный
starren; пялиться, смотреть пристально
der Studiengang; образовательная программа
der Teilnehmer; участник
waschen; мыть, стирать
der Wille; воля, желание
angemessen; соответствующий, подходящий
anhalten; останавливаться, продолжаться
aufmerksam; внимательный
ausbilden; обучать, подготавливать
beantworten; отвечать
die Debatte; дебаты, обсуждение
dünn; тонкий, худой
einkaufen; покупать, делать покупки
erläutern; объяснять, разъяснять
die Fremdsprache; иностранный язык
der Gegner; противник, оппонент
global; глобальный, всемирный
gucken, kucken; смотреть (разговорное)
die Hinsicht; отношение, точка зрения
der Käufer; покупатель
keineswegs; отнюдь не, никоим образом
das Kilogramm; килограмм
mitbringen; приносить с собой
sonstig; прочий, иной
sprachlich; языковой
unternehmen; предпринимать
verraten; выдавать, разглашать
verstecken; прятать, скрывать
die Verwaltung; управление, администрация
vorsichtig; осторожный
die Weile; некоторое время
zeichnen; рисовать, чертить
die Adresse; адрес
anstreben; стремиться, добиваться
auflösen; растворять, распускать
ausführen; выполнять, осуществлять
beruhigen; успокаивать
der Betrag; сумма, количество
derartig; такой, подобный
ehrlich; честный
entfernt; удаленный, отдаленный
fügen; подчиняться, прилаживать
gelb; желтый
der Hals; шея, горло
die Heimat; родина
hinauf; вверх, наверх
hingehen; идти туда
der Kauf; покупка
das Kino; кино, кинотеатр
die Konkurrenz; конкуренция
die Mathematik; математика
mitteilen; сообщать, уведомлять
die Schicht; слой, смена
schmal; узкий, тонкий
der Schwerpunkt; центр тяжести, основной момент
schwimmen; плавать
der Streit; спор, ссора
vereinbaren; договариваться, согласовывать
die Verhandlung; переговоры, слушание дела
weich; мягкий
wohin; куда
der Ablauf; процесс, ход событий
arabisch; арабский
der Arbeitnehmer; работник, сотрудник
begeistern; вдохновлять, восхищать
betreuen; ухаживать, опекать
deuten; толковать, интерпретировать
das Drittel; треть
empirisch; эмпирический
enden; заканчиваться
der/die Erwachsene; взрослый
ewig; вечный
der Fahrer; водитель
das Gegenteil; противоположность
die Gemeinschaft; общество, сообщество
die Gewerkschaft; профсоюз
der Handel; торговля
höchstens; максимум, самое большее
der Kanzler; канцлер
malen; рисовать, красить
das Management; управление, менеджмент
der Millimeter; миллиметр
der Minister; министр
der Nachteil; недостаток, минус
die Platte; пластина, диск
probieren; пробовать, пытаться
seitdem; с тех пор
der Sitz; место, резиденция
spanisch; испанский
sparen; экономить, сберегать
der Start; начало, старт
steuern; управлять, регулировать
die Tabelle; таблица
der Tourismus; туризм
traurig; печальный, грустный
trocken; сухой
übersetzen; переводить
umsetzen; реализовать, воплощать
unheimlich; жуткий, страшный
der Verdacht; подозрение
vielfältig; разнообразный, многообразный
der Vogel; птица
wagen; рискнуть, осмелиться
weinen; плакать
weshalb; почему, по какой причине
der Widerstand; сопротивление
wunderbar; замечательный, чудесный
anzeigen; докладывать, показывать
arm; бедный
auffordern; приглашать, требовать
auswählen; выбирать, отбирать
der/die Beamte; чиновник, государственный служащий
begrüßen; приветствовать
der Bundestag; Бундестаг (нижняя палата парламента Германии)
eintragen; регистрировать, вносить
entsprechend; соответствующий
enttäuschen; разочаровывать
gegenseitig; взаимный, обоюдный
gewaltig; огромный, мощный
grundlegend; основной, фундаментальный
die Investition; инвестиция, вложение
normalerweise; обычно, как правило
die Planung; планирование
der Polizist; полицейский
der Schriftsteller; писатель
sportlich; спортивный, атлетический
die Stärke; сила, крепость
die Steuer; налог
stützen; опирать, поддерживать
die Therapie; терапия, лечение
träumen; мечтать, сниться
türkisch; турецкий
die Überlegung; размышление, соображение
umdrehen; поворачивать(ся)
verheiratet; женатый, замужняя
der Verkehr; движение, транспорт
die Verletzung; травма, нарушение
veröffentlichen; публиковать, обнародовать
voraussetzen; предполагать, подразумевать
zugeben; признавать, допускать
der/die Abgeordnete; депутат
achten; уважать, обращать внимание
der Anschluss; подключение, соединение
ansetzen; назначать, устанавливать
die Armee; армия
die Atmosphäre; атмосфера
die Auswahl; выбор, ассортимент
befürchten; бояться, опасаться
die Beschreibung; описание
das Bewusstsein; сознание
das Boot; лодка
die Einnahme; доход, поступление
die Erkrankung; заболевание
euer; ваш (множественное)
die Fläche; площадь, поверхность
der Flughafen; аэропорт
das Gehirn; мозг
die Gesundheit; здоровье
katholisch; католический
langfristig; долгосрочный
ordentlich; аккуратный, порядочный
der Park; парк
der PC; персональный компьютер
die Physik; физика
die Post; почта
die Saison; сезон
die Stirn; лоб
die Strategie; стратегия
der Wechsel; смена, обмен
zuhören; слушать, внимать
zumal; особенно, тем более
zusammenhängen; связывать, быть связанным
der Alltag; будни, повседневность
der Auftritt; выступление, появление
aufwachsen; вырастать, подрастать
äußere; внешний
der Bahnhof; вокзал, станция
beinahe; почти, чуть не
bevorzugen; предпочитать
der Bundeskanzler; федеральный канцлер
die Demokratie; демократия
demokratisch; демократический
desto; тем (используется в сравнениях)
einander; друг друга
die Erwartung; ожидание
exakt; точный
das Fahrzeug; транспортное средство
die Fotografie; фотография
fünfzehn; пятнадцать
der Hersteller; производитель
herum; вокруг, около
hinsichtlich; в отношении, касательно
das Holz; дерево (материал)
inhaltlich; содержательный
kennzeichnen; характеризовать, обозначать
das Knie; колено
die Kombination; комбинация, сочетание
künstlich; искусственный
die Liste; список
das Niveau; уровень
perfekt; идеальный, совершенный
der Pfarrer; пастор, священник
sauber; чистый
das Schicksal; судьба
die Schrift; письменность, шрифт
sofern; если, поскольку
der Standort; местоположение, местонахождение
der Verlag; издательство
der Zeitraum; период времени
zitieren; цитировать
die Abteilung; отдел, подразделение
Aids; СПИД
bayrisch; баварский
der Beweis; доказательство
dahinter; позади, за этим
das Detail; деталь, подробность
die Dimension; размерность, измерение
entschuldigen; извинять(ся)
erledigen; завершать, выполнять
der Forscher; исследователь, ученый
gefährden; угрожать, подвергать опасности
gelegentlich; иногда, время от времени
gewohnt; привычный
grob; грубый, крупный
das HGB; торговый кодекс
die Integration; интеграция
die Kasse; касса
die Kategorie; категория
literarisch; литературный
maximal; максимальный
der Organismus; организм
parallel; параллельный
das Radio; радио
spätestens; не позднее
tanzen; танцевать
der Unfall; авария, несчастный случай
untere; нижний
die Verbesserung; улучшение
vergleichbar; сопоставимый, сравнимый
die Verpflichtung; обязательство
wandern; путешествовать пешком, ходить в походы
das Abitur; аттестат зрелости (в Германии)
anpassen; адаптировать, приспосабливать
ausgeben; тратить, выдавать
aussetzen; оставлять, подвергать
der Bedarf; потребность, спрос
beeindrucken; впечатлять
beraten; консультировать, советовать
die Beratung; совещание, консультация
die Beschäftigung; занятие, трудоустройство
die Betrachtung; размышление, рассмотрение
der Bundesrat; Бундесрат (верхняя палата парламента Германии)
enorm; огромный, колоссальный
erstellen; создавать, составлять
der Februar; февраль
flach; плоский, ровный
das Frühjahr; весна
gewähren; предоставлять, давать
das Gewicht; вес
der Journalist; журналист
klären; разъяснять, выяснять
die Kompetenz; компетентность, полномочия
kompliziert; сложный, запутанный
kurzfristig; краткосрочный
die Lebensmittel; продукты питания
massiv; массивный, солидный
der Mittelpunkt; центр внимания
optimal; оптимальный
speichern; сохранять, запоминать
der Spiegel; зеркало
der Strand; пляж
die Treppe; лестница
das Vermögen; состояние, имущество
das Wesen; сущность, существо
zuordnen; классифицировать, относить к
allmählich; постепенный
die Arbeitslosigkeit; безработица
aufheben; поднимать, отменять
sich befassen; заниматься
befragen; опрашивать, интервьюировать
die Beobachtung; наблюдение
der Bestandteil; составная часть, компонент
die Beteiligung; участие
die Bewertung; оценка
die Bezeichnung; название, обозначение
die Brücke; мост
die CD; компакт-диск
engagieren; привлекать, нанимать
sich entschließen; решаться
garantieren; гарантировать
der Gebrauch; использование, употребление
gegebenenfalls; при необходимости, в случае необходимости
gerecht; справедливый
der Geschäftsführer; управляющий, директор
lehren; преподавать, учить
die Lippe; губа
der Ministerpräsident; премьер-министр
müde; усталый
nahezu; почти, практически
der Nutzen; польза, выгода
der Ruf; репутация, зов
der Russe; русский (человек)
das Signal; сигнал
der Standard; стандарт
der Star; звезда, знаменитость
steigern; повышать, увеличивать
strategisch; стратегический
die Substanz; вещество, субстанция
die Taste; клавиша, кнопка
das Teilchen; частица
umfangreich; обширный, объемный
die Versicherung; страхование, страховка
versorgen; обеспечивать, снабжать
die Vorbereitung; подготовка
der Vordergrund; передний план
der Anwalt; адвокат
berechtigen; давать право, уполномочивать
digital; цифровой
das Experiment; эксперимент
generell; в целом, в общем
der Glauben; вера
der Grundsatz; принцип, основное правило
hierher; сюда
die Initiative; инициатива
die Komponente; компонент
konservativ; консервативный
kühl; прохладный
lokal; местный
mischen; смешивать
nackt; голый, обнаженный
die Oberfläche; поверхность
physikalisch; физический
das Reich; империя, царство
das Rennen; гонка, забег
rühren; мешать, трогать
der Schlag; удар
schrecklich; ужасный, страшный
der Schuh; туфля, обувь
sechzig; шестьдесят
das Seminar; семинар
die Sendung; трансляция, передача
spannend; захватывающий, интересный
die Spannung; напряжение, suspense
die Technologie; технология
touristisch; туристический
die Truppe; войско, труппа
das Umfeld; окружение, среда
der Verbraucher; потребитель
vereinigen; объединять
der Verkauf; продажа
vielfach; многократно, во многих отношениях
das Viertel; четверть, квартал
das Vorjahr; прошлый год
wecken; будить, пробуждать
angucken, ankucken; смотреть (разговорное)
anhören; слушать, выслушивать
anstellen; нанимать, ставить
aufführen; исполнять, представлять
ausgerechnet; как раз, именно
bedenken; обдумывать, учитывать
beruhen; основываться, базироваться
bewirken; действовать, вызывать
die Bilanz; баланс, итог
einbringen; вносить, предлагать
das Erlebnis; опыт, переживание
gewöhnlich; обычный, обыкновенный
das Grundstück; участок, земельный участок
sich herausstellen; выявляться, оказываться
die Identität; идентичность, личность
investieren; инвестировать, вкладывать
israelisch; израильский
die Kamera; камера
der Kanal; канал
die Karriere; карьера
komplett; полный, комплектный
der Kredit; кредит
momentan; в данный момент, сейчас
das Plus; плюс, преимущество
das Quartal; квартал (3 месяца)
das Rad; колесо
der Rechner; калькулятор, компьютер
rechtfertigen; оправдывать, обосновывать
der Schlaf; сон
der Sender; телестанция, радиостанция
das Tal; долина
die Tiefe; глубина
das TV; телевидение
der Verlauf; ход, течение
sich verlieben; влюбиться
vierzig; сорок
die Zigarette; сигарета
zukünftig; будущий, предстоящий
der Aktionär; акционер
antreten; принимать, вступать
der Atem; дыхание
die Auffassung; точка зрения, мнение
aufpassen; присматривать, быть внимательным
aufsteigen; подниматься, продвигаться
befreien; освобождать
besprechen; обсуждать
der Bewohner; житель, обитатель
braun; коричневый
der Charakter; характер
einheitlich; единый, унифицированный
das Einkommen; доход
einziehen; вселяться, въезжать
die Erziehung; воспитание
finanzieren; финансировать
die Geburt; рождение
geradezu; прямо, просто
gezielt; целенаправленный
die Halle; зал
die Herausforderung; вызов, проблема
hinein; внутрь
hoffentlich; надеюсь, hopefully
die Informationstechnologie, IT; информационные технологии
islamisch; исламский
der Mittag; полдень
die Niederlage; поражение
die Norm; норма, стандарт
real; реальный
die Reform; реформа
das Restaurant; ресторан
riechen; пахнуть, нюхать
schade; жаль
der Schauspieler; актер
der Schnee; снег
die Schülerin; школьница
der Service; обслуживание, сервис
siebzig; семьдесят
die Sitzung; заседание, сессия
statistisch; статистический
der Sturm; шторм, буря
testen; тестировать, проверять
tja; ну (выражает размышление или неопределенность)
die Träne; слеза
die Trauer; горе, скорбь
überlassen; передавать, предоставлять
unterliegen; подчиняться, проигрывать
verschieben; откладывать, переносить
vorgeben; притворяться, задавать
vorhaben; планировать, намереваться
