Words to Learn

Learned Words

The Rest
unsquared;не квадратный
accomplishment;достижение
lash;хлестать
pretext;предлог
intolerable;невыносимый
smuggler;контрабандист
fore;впереди
trio;тройка
ample;обширный
trot;рысь
coil;катушка
cowardice;трусость
quaint;причудливый
downright;прямо
linger;задерживаться
pious;благочестивый
morrow;завтра
infectious;заразный
proceeds;выручка
newcomer;новичок
deuce;черт
youngster;юноша
delicacy;деликатес
tumble;падение
agreeable;приятный
consultation;консультация
aft;корма
onward;вперед
commentary;комментарий
assurance;уверенность
hearty;сердечный
foggy;туманный
slab;плита
racer;гонщик
seaman;моряк
stride;шаг
rudder;руль
predicament;затруднительное положение
accordance;соответствие
invaluable;бесценный
partridge;куропатка
solemnly;торжественно
freshly;свежо
scarcely;едва
frosty;морозный
tack;галс
blindness;слепота
boast;хвастать
perjury;лжесвидетельство
outline;контур
feeble;слабый
doubtful;сомнительный
bog;болото
swarm;рой
humane;гуманный
snuff;нюхать
prosperous;процветающий
gall;желчь
plateau;плато
disperse;рассеиваться
discomfort;дискомфорт
exhaustion;истощение
frown;хмуриться
fern;папоротник
whit;крупица
unhealthy;нездоровый
knit;вязать
swung;размахивал
latter;последний
inquire;спрашивать, осведомляться, расследовать
imitation;имитация
barrow;тачка
gunner;артиллерист
disposition;расположение
giddy;головокружительный
unharmed;невредимый
overload;перегрузка
spun;закрученный
assailant;нападающий
fringe;край
whiff;дуновение
frenzy;безумие
mound;насыпь
spat;ссора
carcass;туша
swab;швабра
tat;кружево, татуировка, наносить татуировку
blindfold;повязка на глаза
affectionate;ласковый
fleeting;мимолетный
bonfire;костер
meddle;вмешиваться
steadily;стабильно
seaweed;морская водоросль
murderous;убийственный
gill;жабры, мера объема
brow;бровь, лоб
lumber;древесина
mantle;мантия
plank;доска
ahoy;агой, эй (приветствие на море)
humbly;смиренно
upwards;вверх
midday;полдень
reassure;успокоить
meddling;вмешательство
malaria;малярия
keg;бочонок
finer;более тонкий
stormy;бурный
drunkard;пьяница
bubbling;пузырящийся
distressed;огорченный
horrid;ужасный
diversity;разнообразие
dell;долина
tilt;наклон
continuously;непрерывно
narrative;повествование
hostility;враждебность
bodily;физический
ironically;иронически
pinpoint;точно определить
peril;опасность
widely;широко
fiend;демон
snail;улитка
trifle;пустяк
eel;угорь
anticipation;ожидание
radiant;сияющий
stoop;наклоняться
crave;жаждать
blinking;мигание
navigate;навигировать
ration;рацион
curl;завиток
lawful;законный
slain;убитый
mingle;смешиваться
perceive;воспринимать
accuracy;точность
flourish;процветать
morally;морально
apiece;за штуку
stump;пень
posture;поза
peer;сверстник
gravel;гравий
rave;бредить, восторгаться
sprung;возникший
basin;бассейн
stretcher;носилки
incense;благовоние
folly;глупость
disclose;раскрывать
treachery;предательство
starvation;голодание
wedge;клин
summons;вызов
violently;жестоко
chaplain;капеллан
oriental;восточный
aloud;вслух
grin;усмешка
forfeit;штраф
humility;скромность
fatigue;усталость
refrain;воздерживаться
gauge;мерить
ghastly;ужасный
ninety;девяносто
poll;опрос, голосование
seventy;семьдесят
rung;ступенька
wisely;мудро
slimy;слизистый
trader;торговец
comprehend;понимать
foremost;первый
swam;плавал
sleeper;спящий
rightly;правильно
scarce;дефицитный
accordingly;соответственно
ledge;выступ
scarecrow;пугало
firewood;дрова
plunge;погружение
suffice;хватить
slumber;сон
oracle;оракул
presently;вскоре
isle;остров
wildly;дико
cleanse;очищать
wonderfully;замечательно
encouragement;ободрение
breaker;волна
hedge;изгородь
helm;руль
watchman;сторож
flap;клапан, закрылок, махать (крыльями)
admiration;восхищение
obscure;темный, неясный, затемнять
spade;лопата, пиковая масть
fearful;страшный
archbishop;архиепископ
oyster;устрица
seemingly;по-видимому
cling;прилипать
transparent;прозрачный
diver;водолаз
indoors;в помещении
dusk;сумерки
budge;сдвинуть
fraction;доля
gallows;виселица
proportion;пропорция
superstition;суеверие
margin;край
navigation;навигация
removal;удаление
porridge;каша
mellow;мягкий
bending;изгиб
timber;древесина
dirk;кортик
mutiny;мятеж
nightfall;наступление ночи
providence;провидение
trend;тенденция
quadrant;квадрант
superstitious;суеверный
clause;пункт
clash;столкновение
oddly;странно
exploration;исследование
continuous;непрерывный
twinkle;мерцание
defender;защитник
alarmed;обеспокоенный
bosom;грудь
backward;назад
nip;укус
blaze;пламя
sundown;закат
rejoice;радоваться
cockroach;таракан
senseless;бессмысленный
simultaneously;одновременно
melancholy;меланхолия
horribly;ужасно
blur;размытие
unfaithful;неверный
tar;деготь
respectful;уважительный
nineteen;девятнадцать
remarkably;замечательно
cluster;кластер
hesitation;колебание
portable;портативный
marrow;мозг (костный), тыква
heath;вереск
pip;косточка (фрукта), очко (на игральной кости), зародыш (в яйце)
unnatural;неестественный
revive;оживить
foe;враг
conquest;завоевание
competent;компетентный
laden;нагруженный
audible;слышимый
squire;помещик
wrestle;бороться
detour;объезд
goodwill;добрая воля
heave;поднять
lass;девушка
windy;ветреный
brew;варить, заваривать, назревать
northeast;северо-восток
treacherous;коварный
downhill;вниз по склону
surge;волна
silently;молча
pluck;выщипывать
stench;вонь
flea;блоха
contrast;контраст
formidable;внушительный
uneasy;беспокойный
dart;дротик, стрела, метнуться
infamous;печально известный
monstrous;чудовищный
offender;правонарушитель
southwest;юго-запад
revolt;восстание
tighten;затягивать
admirable;восхитительный
holler;кричать
precaution;предосторожность
plaster;штукатурка
bulk;объем
override;перекрывать
solemn;торжественный
muddy;грязный
doorway;дверной проем
napkin;салфетка
wrench;гаечный ключ
cove;бухта
cognac;коньяк
mischief;проделки
fiddle;скрипка, подделывать
frequent;частый
revenue;доход
slope;склон
sovereign;суверен, монарх, суверенный, независимый
paddle;весло
southeast;юго-восток
sank;затонул
valet;камердинер
gloomy;мрачный
wiser;мудрее
ere;прежде чем (архаичное)
threshold;порог
prejudice;предвзятость
eddy;водоворот
tightly;плотно
haste;спешка
ensign;флаг
probable;вероятный
bullying;запугивание
heed;внимание
dependent;зависимый
risen;поднялся
privileged;привилегированный
northwest;северо-запад
repent;раскаиваться
solitude;уединение
shaggy;кудрявый, лохматый, косматый
uncovered;обнаженный
squat;приседать
glee;восторг
reel;катушка, барабан, пошатываться, кружиться
upright;вертикально
certainty;уверенность
distinct;отчетливый
notch;выемка, зарубка
cowardly;трусливый
sideways;боком
presumably;предположительно
peck;клевать
quack;шарлатан
ax;топор
fling;бросок
accidental;случайный
hash;хэш, мешанина, рубленое мясо, путаница
dispose;распоряжаться
steep;крутой, резкий (подъем цен), замачивать, настаивать
damp;влажный
remedy;средство
prospect;перспектива
babbling;бормотание
revelation;откровение
tavern;таверна
tread;шагать
mend;чинить
occasional;случайный
cruelty;жестокость
external;внешний
clearer;более ясный
eminence;выдающаяся личность
willingly;добровольно
trim;стрижка, обрезка, в хорошей форме, аккуратный, подрезать
harbour;гавань
apprentice;ученик
specimen;образец
deception;обман
lantern;фонарь
evidently;очевидно
lace;кружево
perish;погибнуть
gale;шторм
flint;кремень, кремниевый
dense;густой
wink;мигание
stem;стебель, ствол, сдерживать
bathe;купаться
arch;арка, свод, выгибать(ся), лукавый
sway;колебаться
cutter;резец
merit;заслуга
mist;туман
overhead;над головой
nay;нет
swollen;опухший
weary;усталый
immense;огромный
shameful;позорный
calmly;спокойно
garrison;гарнизон
starboard;правый борт
bundle;связка
bind;связывать
brute;животное
coral;коралл
ale;эль
verge;грань
truce;перемирие
heap;куча, груда, нагромождать
packet;пакет
homemade;домашнего приготовления
chimney;дымоход
tailor;портной
merciful;милосердный
severely;строго
likewise;также
idle;бездействующий
allowance;пособие
calf;теленок, икра (ноги)
sponge;губка
openly;открыто
seventeen;семнадцать
pike;щука, пика
briefly;кратко
baking;выпечка
streak;полоса
midst;среди
monthly;ежемесячно
moss;мох
liberal;либеральный, щедрый, обильный
longing;тоска
partly;частично
positively;положительно
considerable;значительный
dine;обедать
unarmed;безоружный
tropical;тропический
shaken;потрясенный
banner;знамя
lighten;осветить
handkerchief;носовой платок
embarrassment;смущение
absent;отсутствующий
ashore;на берегу
willow;ива
ox;вол
broom;метла
grim;мрачный
bluff;обрыв, блеф
carpenter;плотник
sunk;затонул
newly;недавно
thrust;толчок
compass;компас, охват, объем
hull;корпус (судна), шелуха
sane;здравомыслящий
kettle;чайник
flock;стая
numerous;многочисленный
foam;пена
gulf;залив
lookout;дозор
bidding;предложение
stern;корма, строгий
peacefully;мирно
wrath;гнев
turf;газон, дерн, территория
tipped;с наконечником
telescope;телескоп
humour;юмор, настроение, нрав
vile;подлый
housekeeper;экономка
hamlet;деревушка, Гамлет
grove;роща
ungrateful;неблагодарный
roughly;грубо
gardener;садовник
countless;бесчисленный
fourteen;четырнадцать
mild;мягкий
biting;колючий, кусающий, едкий, пронизывающий (о холоде)
loosen;ослаблять
elaborate;детализировать
overboard;за борт
poisonous;ядовитый
swift;быстрый
lent;одолженный, пост (религиозный), прошедшее время от глагола "lend" (одалживать)
summit;вершина
utter;произносить, полный, абсолютный, крайний
strangely;странно
bunk;койка
bitten;укушенный
agony;агония
magistrate;магистрат, судья
gradually;постепенно
crooked;кривой
interference;вмешательство
transportation;транспортировка
thirteen;тринадцать
flown;пролетел
cunning;хитрый
thirst;жажда
booty;добыча
careless;небрежный
elderly;пожилой
greatly;значительно
employment;занятость
sheer;чистый, отвесный, прозрачный, полный, абсолютный
cant;жаргон, наклон, лицемерие, косой
sufficient;достаточный
caution;осторожность
swept;подметенный
peculiar;особенный, странный
alongside;рядом
shook;тряс
unlucky;неудачливый
greed;жадность
ammunition;боеприпасы
clumsy;неуклюжий
porch;крыльцо
thoroughly;тщательно
wretched;жалкий
skipper;капитан, шкипер
farther;дальше
utterly;совершенно
probation;испытательный срок
sunlight;солнечный свет
shipping;доставка
